Date,Bitcoin My Wallet Number of Users,Bitcoin Market Price USD,Bitcoin USD Exchange Trade Volume,Bitcoin Difficulty,Bitcoin My Wallet Number of Transaction Per Day,Bitcoin My Wallet Transaction Volume,Bitcoin Average Block Size,Bitcoin api.blockchain Size,Bitcoin Miners Revenue,Bitcoin Hash Rate,Bitcoin Estimated Transaction Volume USD,Bitcoin Estimated Transaction Volume,Bitcoin Total Output Volume,Bitcoin Number of Transaction per Block,Bitcoin Number of Transactions Excluding Popular Addresses,Bitcoin Total Number of Transactions,Bitcoin Number of Transactions,Bitcoin Cost Per Transaction,Bitcoin Cost % of Transaction Volume,Total Bitcoins
03-03-21,"68,970,270","48,356","645,712,709","21,724,134,900,047","115,651","27,251",1,"330,913","55,147,755","164,146,716","6,540,727,320","129,395","1,875,556","2,193","329,200","621,240,675","333,402",164,1,"18,644,044"
03-02-21,"68,899,857","49,618","967,845,187","21,724,134,900,047","114,187","39,086",1,"330,727","50,567,918","154,427,502","6,707,252,970","137,625","1,888,598","2,365","334,067","620,904,141","338,150",147,1,"18,642,944"
03-01-21,"68,845,871","45,114","724,061,273","21,724,134,900,047","103,144","19,573",1,"330,551","44,513,744","140,388,638","5,867,267,655","123,112","1,784,275","2,158","276,425","620,623,137","280,485",159,1,"18,642,063"
02-28-21,"68,764,103","46,156","399,909,228","21,724,134,900,047","78,768","12,719",1,"330,372","40,396,049","141,468,551","3,227,571,917","72,081","1,732,528","1,941","250,582","620,368,643","254,316",159,1,"18,641,406"
02-27-21,"68,696,757","46,340","1,077,018,778","21,724,134,900,047","98,595","16,095",1,"330,169","51,148,406","169,546,279","3,416,482,976","72,524","1,677,569","2,043","316,462","620,047,255","320,784",159,1,"18,640,531"
02-26-21,"68,582,382","46,800","915,917,916","21,724,134,900,047","101,597","15,750",1,"329,990","47,395,144","150,107,852","7,202,864,759","154,453","2,069,108","2,204","302,463","619,741,599","306,416",155,1,"18,639,438"
02-25-21,"68,506,021","50,625","1,058,762,335","21,724,134,900,047","108,205","51,510",1,"329,787","57,792,548","168,466,366","8,084,434,721","161,758","2,313,430","2,090","321,718","619,414,646","326,116",174,1,"18,638,556"
02-24-21,"68,418,500","48,880","2,125,994,180","21,724,134,900,047","101,660","43,227",1,"329,578","59,746,179","171,706,104","9,123,958,043","183,196","2,121,420","2,252","353,431","619,057,318","358,092",164,1,"18,637,675"
02-23-21,"68,343,337","54,123","1,925,933,019","21,724,134,900,047","86,322","28,937",1,"329,414","48,487,888","137,148,901","12,102,608,267","247,476","2,173,495","2,267","283,260","618,770,919","287,884",165,0,"18,636,575"
02-22-21,"68,241,019","57,488","515,842,592","21,724,134,900,047","93,331","23,422",1,"329,236","52,905,474","143,628,376","8,515,953,766","155,804","1,991,241","2,146","281,144","618,485,717","285,383",185,1,"18,635,913"
