Landshlutar,Póstnúmer,Age,Gender,Other Category,Flettingar,% Δ,Fjöldi eigna,% Δ,Avg. Time on Page,% Δ
Reykjavík,105 Reykjavík (Hlíðar),25-34,male,Sports/Team Sports/Soccer,4313,0.07609780439121756,33,-0.175,25.886658195679797,0.024524585000541287
Kópavogur,"200 Kópavogur (Kársnes, Digranes)",55-64,female,Food & Drink/Cooking & Recipes,3940,30.26984126984127,1,-0.5,9.625288535521928,0.03656953459466913
Kópavogur,"200 Kópavogur (Kársnes, Digranes)",25-34,male,Sports/Team Sports/Soccer,3934,-0.028641975308641977,28,0.07692307692307693,29.659343715239153,0.22154525742932318
Reykjavík,108 Reykjavík (Háaleiti og Bústaðir),25-34,male,Sports/Team Sports/Soccer,3646,0.8526422764227642,29,0.6111111111111112,17.38968824940048,-0.22812507355315031
Reykjavík,105 Reykjavík (Hlíðar),25-34,female,Arts & Entertainment/Celebrities & Entertainment News,3478,0.17898305084745764,26,0.18181818181818182,15.646314457450174,-0.10729426514889698
Reykjavík,112 Reykjavík (Grafarvogur),25-34,male,Sports/Team Sports/Soccer,3376,2.0579710144927534,22,0.5714285714285714,21.74081115335868,0.3240811458156884
Garðabær,210 Garðabær,25-34,male,Sports/Team Sports/Soccer,3282,-0.03442188879082083,25,-0.21875,19.58380920389654,0.04003326276620748
Hafnafjörður,220 Hafnarfjörður,25-34,male,Sports/Team Sports/Soccer,3173,1.5043409629044988,24,0.7142857142857143,12.955295735900963,-0.30354865253998387
Reykjavík,101 Reykjavík (Miðborg),25-34,male,Sports/Team Sports/Soccer,2828,-0.09067524115755626,28,-0.125,17.30003886513797,-0.11214517371441263
Reykjavík,101 Reykjavík (Miðborg),25-34,female,Arts & Entertainment/Celebrities & Entertainment News,2753,0.2786809103576405,27,0.2857142857142857,15.423349056603774,-0.11430456489917855
Reykjavík,105 Reykjavík (Hlíðar),25-34,male,Arts & Entertainment/TV & Video/Online Video,2619,-0.08201892744479496,23,-0.25806451612903225,22.98860278598565,0.041057735668243875
Reykjavík,107 Reykjavík (Vesturbær),25-34,male,Sports/Team Sports/Soccer,2554,2.0153482880755607,24,1.4,17.93448858833474,-0.15772983116991252
Vesturland,300 Akranes,25-34,male,Sports/Team Sports/Soccer,2403,0.7042553191489361,14,0,14.332835820895522,-0.4533163762670478
Garðabær,210 Garðabær,25-34,male,Arts & Entertainment/TV & Video/Online Video,2262,0.026781661370857923,17,-0.32,25.7967401725791,0.4489643426925072
Kópavogur,"200 Kópavogur (Kársnes, Digranes)",25-34,male,Arts & Entertainment/TV & Video/Online Video,2253,-0.21634782608695652,19,-0.24,23.143545279383428,0.1630544005677851
Reykjavík,108 Reykjavík (Háaleiti og Bústaðir),25-34,female,Arts & Entertainment/Celebrities & Entertainment News,2251,4.476885644768856,19,2.1666666666666665,17.496879500720116,0.7695550168407195
